species,Lon,Lat,Temp,Sal,Status
Acartia tonsa,115.00104,-31.7205,17.749094,35.566406,PNIS
Acartia tonsa,112.86459,-27.25133,16.884739,35.600887,PNIS
Acartia tonsa,113.55762,-22.73084,23.321247,35.152557,PNIS
Acartia tonsa,112.48355,-25.30312,21.383966,35.626656,PNIS
Acartia tonsa,114.25531,-29.8221,8.328363,34.598442,PNIS
Acartia tonsa,113.43318,-28.48921,18.476691,35.701706,PNIS
Acartia tonsa,113.5774,-28.79831,5.395304,34.498405,PNIS
Acartia tonsa,113.822,-21.85098,19.037705,35.56477,PNIS
Acartia tonsa,113.39617,-23.08154,19.286939,35.675468,PNIS
Acartia tonsa,114.37758,-30.13879,4.724131,34.415562,PNIS
Acartia tonsa,113.00553,-27.56102,18.851004,35.73415,PNIS
Acartia tonsa,113.07072,-23.78245,21.693499,35.521027,PNIS
Acartia tonsa,114.87469,-31.4044,8.806737,34.689564,PNIS
Acartia tonsa,112.72444,-26.9415,12.620641,35.361362,PNIS
Acartia tonsa,112.47803,-25.63743,21.384683,35.714237,PNIS
