Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;MassSpecificRMR;RMR;Bad;Phase;Parasitemy
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;24.08.2020;0;12,7;3,518348718;21,55637992;0;1;0
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;08.09.2020;14;12,72;0,796690601;23,06078944;0;2;12,16666667
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;19.09.2020;25;12,31;3,916560314;23,25927097;0;3;43,75
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;29.09.2020;35;13,07;3,648784193;23,00684104;0;4;10,41666667
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;13.10.2020;49;12,32;3,762907876;22,36492882;0;5;4,978333333
Spinus spinus;Rybachy;xj27394;Sparta;m;Exp_2;1;24.08.2020;0;14,7;3,178059412;22,53785461;0;1;0
Spinus spinus;Rybachy;xj27394;Sparta;m;Exp_2;1;07.09.2020;13;12,47;3,632426313;21,85226673;0;2;2,775
Spinus spinus;Rybachy;xj27394;Sparta;m;Exp_2;1;18.09.2020;24;10,31;3,930979569;19,55206707;0;3;60
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;21.08.2020;0;12,37;3,804042368;22,70117159;0;1;0
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;07.09.2020;13;12,33;3,561548073;21,18532417;0;2;6,416666667
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;18.09.2020;24;12,88;3,774061576;23,45082205;0;3;17
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;29.09.2020;35;13,08;3,544069893;22,36367892;0;4;1,433333333
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;12.10.2020;48;12,63;3,976483399;24,22901455;0;5;0,26
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;22.08.2020;0;14;3,211558072;21,69087349;0;1;0
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;05.09.2020;11;14,13;3,441582302;23,46029927;0;2;0,835
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;18.09.2020;24;11,66;4,474054178;25,16709078;0;3;10
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;28.09.2020;34;12,21;3,973921014;23,40820548;0;4;1,566666667
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;12.10.2020;48;11,37;3,984385766;21,85521438;0;5;1,45
Spinus spinus;Rybachy;xj27403;Sparta;m;Cont;0;27.08.2020;0;11,99;3,75867096;21,74136054;0;1;0
Spinus spinus;Rybachy;xj27403;Sparta;m;Cont;0;10.09.2020;11;12,17;4,285542129;25,16109708;0;2;0
Spinus spinus;Rybachy;xj27403;Sparta;m;Cont;0;22.09.2020;23;12,11;3,881419638;22,67607937;0;3;0
Spinus spinus;Rybachy;xj27403;Sparta;m;Cont;0;03.10.2020;34;11,7;4,139937726;23,36753472;0;4;0
