Place,Sea,Year,Date,Number,L,a,l
Vhg,Baltic Sea,1988,09.03.88,34,NA,5.6,10.4
Vhg,Baltic Sea,1988,09.03.88,48,NA,5.6,10.5
Vhg,Baltic Sea,1988,09.03.88,56,NA,8.5,11.9
Vhg,Baltic Sea,1988,09.03.88,59,NA,9.3,13.1
Vhg,Baltic Sea,1988,09.03.88,60,NA,0,18.1
Vhg,Baltic Sea,1988,09.03.88,53,NA,8,12
Vhg,Baltic Sea,1988,09.03.88,41,NA,0,10.9
Vhg,Baltic Sea,1988,09.03.88,51,NA,7.7,11.2
Vhg,Baltic Sea,1988,09.03.88,46,NA,6.8,10.4
Vhg,Baltic Sea,1988,09.03.88,50,NA,9.1,11.9
Vhg,Baltic Sea,1988,09.03.88,55,NA,10.5,12
Vhg,Baltic Sea,1988,09.03.88,33,NA,5.2,10.7
Vhg,Baltic Sea,1988,09.03.88,52,NA,8.1,10.9
Vhg,Baltic Sea,1988,09.03.88,40,NA,9.6,10
Vhg,Baltic Sea,1988,09.03.88,43,NA,8.1,8.8
Vhg,Baltic Sea,1988,09.03.88,44,NA,5.2,11.1
Vhg,Baltic Sea,1988,09.03.88,45,NA,6.3,9.6
Vhg,Baltic Sea,1988,09.03.88,49,NA,6.7,10
Vhg,Baltic Sea,1988,09.03.88,31,NA,6.8,9.2
Vhg,Baltic Sea,1988,09.03.88,39,NA,5.5,9.6
Vhg,Baltic Sea,1988,09.03.88,22,NA,8.9,9.2
Vhg,Baltic Sea,1988,09.03.88,14,NA,7.3,7.2
Vhg,Baltic Sea,1988,09.03.88,3,NA,4.3,6.1
Vhg,Baltic Sea,1988,09.03.88,16,NA,0,8
Vhg,Baltic Sea,1988,09.03.88,13,NA,0,7.7
Vhg,Baltic Sea,1988,09.03.88,28,NA,9.2,9.5
Vhg,Baltic Sea,1988,09.03.88,9,NA,6.9,7.6
Vhg,Baltic Sea,1988,09.03.88,26,NA,5.2,8.1
Vhg,Baltic Sea,1988,09.03.88,29,NA,4.1,9.7
Vhg,Baltic Sea,1988,09.03.88,30,NA,8.7,10.3
Vhg,Baltic Sea,1988,09.03.88,11,NA,5.3,8.1
Vhg,Baltic Sea,1988,09.03.88,25,NA,0,9.6
Vhg,Baltic Sea,1988,09.03.88,7,NA,4.4,7.6
Vhg,Baltic Sea,1988,09.03.88,18,NA,0,8.1
Vhg,Baltic Sea,1988,09.03.88,15,NA,4,7.5
Vhg,Baltic Sea,1988,09.03.88,24,NA,0,10.5
Vhg,Baltic Sea,1988,09.03.88,21,NA,6.1,6.9
Vhg,Baltic Sea,1988,09.03.88,8,NA,5.1,6.1
Vhg,Baltic Sea,1988,09.03.88,17,NA,0,9.2
Vhg,Baltic Sea,1988,09.03.88,6,NA,5.5,6.1
Vhg,Baltic Sea,1988,09.03.88,12,NA,8.5,8.5
Vhg,Baltic Sea,1988,09.03.88,10,NA,0,7.7
Vhg,Baltic Sea,1988,09.03.88,19,NA,6.1,8.3
Vhg,Baltic Sea,1988,09.03.88,1,NA,4.5,6.3
Vhg,Baltic Sea,1988,09.03.88,23,NA,0,8
Vhg,Baltic Sea,1988,09.03.88,2,NA,5.7,7.2
Vhg,Baltic Sea,1988,09.03.88,5,NA,0,6.8
