"","Station","Long","Lat","Depth","Date","Constructed","No","Month"
"21799","O67",72.9634894592251,71.0390618353882,14,2017-04-28 03:00:00,2.79614043235779,2.58264946937561,4
"21800","O68",73.2390699724989,71.0412779331425,17.5,2017-04-28 03:00:00,2.43484409650167,2.22313054402669,4
"21801","O69",73.3803103385595,71.0424667132828,19,2017-04-28 03:00:00,3.4254789352417,3.16311120986938,4
"21802","O70",73.5170847696196,71.0444487594944,24,2017-04-28 03:00:00,3.71103239059448,3.31767177581787,4
"21803","O71",73.6331058331608,71.0452270565166,9,2017-04-28 03:00:00,3.34016752243042,3.03433299064636,4
"21804","O72",73.3837036588611,71.0012048811599,19,2017-04-28 03:00:00,3.61219692230225,3.28421473503113,4
"21805","O73",73.5178581788217,71.0006026877374,20.5,2017-04-28 03:00:00,3.54971861839294,3.24650311470032,4
"21806","O74",73.7520697437217,71.0255283640478,5,2017-04-28 03:00:00,NA,NA,4
"21807","O75",72.6997175571565,70.9477032892576,5,2017-04-28 03:00:00,1.11362266540527,1.07446575164795,4
"21808","O76",72.9734932361907,70.9489775019397,10,2017-04-28 03:00:00,2.28456449508667,2.05450105667114,4
"21809","O77",73.2477631198429,70.9517725658342,19,2017-04-28 03:00:00,2.15759438276291,1.93709892034531,4
"21810","O78",73.3875806458152,70.9538367918477,15,2017-04-28 03:00:00,2.78047657012939,2.52814054489136,4
"21811","O79",73.5221053768673,70.954160634102,23,2017-04-28 03:00:00,3.43844652175903,3.12117052078247,4
"21812","O80",73.6429007684478,70.9550833774804,21,2017-04-28 03:00:00,3.451819896698,3.12181353569031,4
"21813","O81",73.7965086197577,70.9561431233646,9,2017-04-28 03:00:00,2.8562490940094,2.49122262001038,4
"21814","O82",73.8718700622317,70.9804120078598,3,2017-04-28 03:00:00,3.00090360641479,2.83006906509399,4
"21815","O83",73.3899589631784,70.9126619627998,15,2017-04-28 03:00:00,2.96586680412292,2.62546014785767,4
"21816","O84",73.5247496847243,70.9143985276368,24,2017-04-28 03:00:00,3.35390591621399,3.02564811706543,4
"21817","O85",73.654311582415,70.9161213563848,22,2017-04-28 03:00:00,3.37653088569641,3.07634687423706,4
"21818","O86",73.7977168648191,70.9185085009972,10,2017-04-28 03:00:00,2.63796305656433,2.3182053565979,4
"21819","O87",72.9832714850373,70.8600785873806,9,2017-04-28 03:00:00,1.20469617843628,0.960160374641418,4
"21820","O88",73.2593376039838,70.8633009474576,18,2017-04-28 03:00:00,1.89844676852226,1.6977336704731,4
"21821","O89",73.3974536609866,70.8643416932302,18,2017-04-28 03:00:00,2.23429203033447,1.98584717512131,4
"21822","O90",73.5286517577302,70.8652346559054,22,2017-04-28 03:00:00,3.31435203552246,2.94355487823486,4
"21823","O91",73.6624109187264,70.8663506431024,24,2017-04-28 03:00:00,3.19439792633057,2.88358354568481,4
"21824","O92",73.8026107263455,70.8672052391596,10,2017-04-28 03:00:00,2.61945581436157,2.36459970474243,4
"21825","O93",73.906789427321,70.853718738334,6,2017-04-28 03:00:00,NA,NA,4
"21826","O94",72.5927496218929,70.1788473545258,5,2017-04-28 03:00:00,NA,NA,4
"21827","O95",72.8537955770576,70.1716521544835,9,2017-04-28 03:00:00,NA,NA,4
"21828","O96",73.1192023153647,70.1637691288032,12,2017-04-28 03:00:00,NA,NA,4
"21829","O97",73.3821524795885,70.1556502103624,20,2017-04-28 03:00:00,NA,NA,4
"21830","O98",73.6427920686747,70.1472153092434,8,2017-04-28 03:00:00,NA,NA,4
"21831","O99",73.6452669073265,71.0061910804508,12,2017-04-28 03:00:00,2.97391724586487,2.69752836227417,4
"21832","O101",73.6529617012555,70.9948573659749,12,2017-04-28 03:00:00,2.96722960472107,2.69198536872864,4
"21833","O102",73.71556593503,71.0026506694739,11.5,2017-04-28 03:00:00,3.14561104774475,2.84009742736816,4
"21834","O104",73.7019992362869,70.9910531339053,11.5,2017-04-28 03:00:00,2.94683051109314,2.59016394615173,4
"21835","O105",73.7698151132434,71.0014275731138,11,2017-04-28 03:00:00,3.02304887771606,2.7443550825119,4
"21836","O107",73.7711489169493,70.9896721916697,11,2017-04-28 03:00:00,3.28081488609314,2.94696974754333,4
