sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
GYO393,KIM,edulis,Kent Island Mooring,0.999985,0.000015,79.3,44.7,33.5,E
GYO394,KIM,edulis,Kent Island Mooring,0.999984,0.000016,75.3,39.1,21.8,E
GYO395,KIM,edulis,Kent Island Mooring,0.999979,0.000021,66.2,36.3,28.1,E
GYO396,KIM,edulis,Kent Island Mooring,0.999983,0.000017,78,40.1,31.2,E
GYO397,KIM,edulis,Kent Island Mooring,0.999986,0.000014,77.8,39.8,34.9,E
GYO398,KIM,edulis,Kent Island Mooring,0.999986,0.000014,62.3,43.6,35.8,E
MDRW002,MDRW,hybrid,Mount Desert Rock West,0.759609,0.240391,16,8.2,7.8,E
MDRW005,MDRW,trossulus,Mount Desert Rock West,5.60E-05,0.999944,18.6,10.4,5.5,E
MDRW006,MDRW,edulis,Mount Desert Rock West,0.999725,0.000275,19.9,9.7,7,E
MDRW008,MDRW,edulis,Mount Desert Rock West,0.999877,0.000123,16.5,9,6.1,E
MDRW009,MDRW,edulis,Mount Desert Rock West,0.999975,0.000025,17.3,9.1,6.2,E
MDRW010,MDRW,trossulus,Mount Desert Rock West,0.000215,0.999785,16.1,11,7.3,E
MDRW011,MDRW,trossulus,Mount Desert Rock West,7.80E-05,0.999922,17.8,10.8,5.5,E
MDRW012,MDRW,edulis,Mount Desert Rock West,0.999915,0.000085,18.2,11.3,7.5,E
MDRW013,MDRW,trossulus,Mount Desert Rock West,5.60E-05,0.999944,20.9,11.5,0,T
OR060,BI,edulis,Bailey Island,0.999988,0.000012,40.2,19.4,15.9,E
OR061,BI,edulis,Bailey Island,0.999982,0.000018,36.3,19.3,14.5,E
OR062,BI,edulis,Bailey Island,0.999988,0.000012,38.1,20.7,10.3,E
OR063,BI,edulis,Bailey Island,0.999984,0.000016,44.9,24,14.2,E
OR064,BI,edulis,Bailey Island,0.999937,0.000063,36.4,18.6,16.9,E
OR065,BI,edulis,Bailey Island,0.999855,0.000145,36.8,19.9,12.5,E
OR066,BI,edulis,Bailey Island,0.999983,0.000017,40,21.9,21.9,E
OR068,BI,edulis,Bailey Island,0.999963,0.000037,36.5,19.3,19.3,E
OR069,BI,edulis,Bailey Island,0.999985,0.000015,38.6,21.2,21.2,E
OR070,BI,edulis,Bailey Island,0.999987,0.000013,35.7,16.9,12.5,E
