sample_ID,pop_ID,species,location,edulis,trossulus
REOR320,CBSL,trossulus,Cobscook Bay South Lubec,0.000036,0.999964
REOR322,CBSL,hybrid,Cobscook Bay South Lubec,0.579635,0.420365
REOR323,CBSL,edulis,Cobscook Bay South Lubec,0.999954,0.000046
REOR324,CBSL,edulis,Cobscook Bay South Lubec,0.999969,0.000031
REOR326,CBSL,edulis,Cobscook Bay South Lubec,0.999969,0.000031
REOR327,CBSL,trossulus,Cobscook Bay South Lubec,0.000057,0.999943
REOR328,CBSL,trossulus,Cobscook Bay South Lubec,0.000042,0.999958
REOR329,CBSL,trossulus,Cobscook Bay South Lubec,0.000044,0.999956
REOR330,CBSL,trossulus,Cobscook Bay South Lubec,0.000047,0.999953
REOR333,CBSL,edulis,Cobscook Bay South Lubec,0.999971,0.000029
REOR334,CBSL,trossulus,Cobscook Bay South Lubec,0.000049,0.999951
REOR336,CBSL,trossulus,Cobscook Bay South Lubec,0.000057,0.999943
REOR337,CBSL,edulis,Cobscook Bay South Lubec,0.999921,0.000079
REOR338,CBSL,edulis,Cobscook Bay South Lubec,0.999963,0.000037
REOR339,CBSL,trossulus,Cobscook Bay South Lubec,0.000103,0.999897
REOR340,CBSL,trossulus,Cobscook Bay South Lubec,0.000039,0.999961
REOR341,CBSL,trossulus,Cobscook Bay South Lubec,0.000034,0.999966
REOR342,CBSL,trossulus,Cobscook Bay South Lubec,0.000034,0.999966
REOR344,CBSL,trossulus,Cobscook Bay South Lubec,0.000058,0.999942
REOR345,CBSL,edulis,Cobscook Bay South Lubec,0.999965,0.000035
REOR346,CBSL,edulis,Cobscook Bay South Lubec,0.999973,0.000027
REOR347,CBSL,trossulus,Cobscook Bay South Lubec,0.000034,0.999966
REOR348,CBSL,trossulus,Cobscook Bay South Lubec,0.000043,0.999957
REOR350,CBSL,trossulus,Cobscook Bay South Lubec,0.000107,0.999893
REOR352,CBSL,trossulus,Cobscook Bay South Lubec,0.000091,0.999909
REOR355,CBSL,edulis,Cobscook Bay South Lubec,0.999968,0.000032
REOR356,CBSL,edulis,Cobscook Bay South Lubec,0.999969,0.000031
REOR357,CBSL,edulis,Cobscook Bay South Lubec,0.999966,0.000034
REOR358,CBSL,trossulus,Cobscook Bay South Lubec,0.00004,0.99996
REOR360,CBSL,edulis,Cobscook Bay South Lubec,0.999971,0.000029
REOR362,CBSL,edulis,Cobscook Bay South Lubec,0.999966,0.000034
WH202,VH,edulis,Vinalhaven,0.999982,0.000018
WH203,VH,edulis,Vinalhaven,0.999951,0.000049
