population;site;sample_type;substrate;L;z;structure;species;hybride_score
ryazh2;Ryazhkov;systematic;ground;36.5;1.00617284;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;35.7;1;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;38.8;1;0.043;edulis;1
ryazh2;Ryazhkov;systematic;ground;40.1;1;0.01;edulis;0
ryazh2;Ryazhkov;systematic;ground;45.7;0.838427948;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;36.6;1;0.385;hybrid;3
ryazh2;Ryazhkov;systematic;ground;38.5;1.076923077;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;36.5;1;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;34.1;1;0.05;edulis;1
ryazh2;Ryazhkov;systematic;ground;36.8;0;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;13.4;0;0.549;hybrid;4
ryazh2;Ryazhkov;systematic;ground;16.9;0.851351351;0.119;hybrid;1
ryazh2;Ryazhkov;systematic;ground;16.2;1;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;15.1;0.676923077;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;20;1;0.01;edulis;0
ryazh2;Ryazhkov;systematic;ground;29.6;1.12;0.01;edulis;0
ryazh2;Ryazhkov;systematic;ground;32.8;0.933333333;0.011;edulis;0
ryazh2;Ryazhkov;systematic;ground;32.5;0.974522293;0.013;edulis;1
ryazh2;Ryazhkov;systematic;ground;33.1;1;0.313;hybrid;2
ryazh2;Ryazhkov;systematic;ground;38.5;0.862857143;0.014;edulis;1
ryazh2;Ryazhkov;systematic;ground;22.1;0.8;0.386;hybrid;3
ryazh2;Ryazhkov;systematic;ground;26.1;1;0.011;edulis;0
