decimalLatitude	decimalLongitude
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.15089	2.72686
51.11896	4.26525
51.15089	2.72686
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
51.11896	4.26525
